QT_TOTAL_HIT_PAYWALL,DIASNAVEGADOS,NOTICIASLIDAS,VISITAS_CAPA,USOU_APP,PERFIL,PES_GENERO,ATR_PF_GEO_RENDA_FAM,IDADE
0,0,0,0,False,1,True,3,41.0
1,1,0,9,True,1,False,3,45.0
1,6,3,7,False,1,False,2,55.0
11,16,10,0,False,1,False,3,52.0
0,0,0,0,False,1,False,2,33.0
0,0,0,0,False,1,True,4,47.0
7,1,0,0,False,1,True,3,56.0
6,51,177,0,False,1,False,4,37.0
20,12,0,16,True,1,False,3,33.0
44,33,10,151,True,1,False,2,46.0
4,1,0,3,True,1,False,3,26.0
0,16,5,84,True,1,False,5,41.0
18,22,0,84,True,1,False,2,38.0
24,33,85,0,False,1,False,3,62.0
20,48,324,126,True,1,False,5,63.0
6,8,4,1,False,1,False,3,67.0
0,0,0,0,False,1,False,4,58.0
0,5,0,16,True,1,False,3,44.0
0,0,0,0,False,1,False,3,24.0
1,1,1,1,False,1,False,2,53.0
0,0,0,0,False,1,False,3,64.0
20,58,286,0,False,1,True,2,51.0
7,47,169,210,False,1,False,3,66.0
0,0,0,0,False,1,True,3,45.0
0,1,2,0,False,1,False,4,37.0
3,4,3,0,False,1,False,2,46.0
0,0,0,0,False,1,False,3,33.0
3,4,4,0,False,1,False,4,26.0
0,0,0,0,False,1,False,2,37.0
9,58,191,3,False,1,True,4,34.0
1,1,0,12,True,1,False,5,30.0
0,0,0,0,False,1,False,2,32.0
0,0,0,0,False,1,True,3,40.0
2,6,0,24,True,1,False,2,39.0
0,0,0,0,False,1,True,4,31.0
0,0,0,0,False,1,False,3,60.0
0,0,0,0,False,1,True,3,50.0
0,0,0,0,False,1,False,3,70.0
88,22,11,2,False,1,False,4,39.0
0,0,0,0,False,1,True,3,32.0
53,60,289,495,True,1,False,2,56.0
0,12,17,1,False,1,False,3,30.0
0,9,5,1,False,1,True,3,40.0
0,0,0,0,False,1,False,5,79.0
92,38,27,8,True,1,False,2,55.0
0,1,0,0,False,1,False,3,36.0
0,0,0,0,False,1,True,4,35.0
0,1,2,0,False,1,False,2,81.0
3,2,5,0,False,1,False,4,79.0
0,0,0,0,False,1,False,3,42.0
0,0,0,0,False,1,False,3,30.0
5,3,1,7,True,1,True,6,41.0
0,0,0,0,False,1,True,3,35.0
7,56,410,1366,True,1,False,3,48.0
0,0,0,0,False,1,True,3,30.0
0,56,171,266,False,1,False,4,59.0
46,20,31,7,False,1,False,3,66.0
0,0,0,0,False,1,False,3,46.0
1,1,0,0,False,1,False,3,42.0
0,0,0,0,False,1,False,3,47.0
4,1,0,0,False,1,True,3,40.0
0,0,0,0,False,1,False,2,42.0
7,25,22,18,False,1,False,3,49.0
0,12,6,15,False,1,False,1,56.0
0,0,0,0,False,1,True,3,41.0
0,0,0,0,False,1,False,4,43.0
3,13,26,5,False,1,False,3,41.0
0,0,0,0,False,1,False,3,35.0
8,2,0,6,True,1,True,3,55.0
9,0,0,0,False,1,False,3,56.0
46,33,30,75,False,1,False,5,35.0
0,0,0,0,False,1,True,2,39.0
0,0,0,0,False,1,False,3,27.0
0,1,1,0,False,0,False,3,47.0
0,1,0,1,False,0,True,2,72.0
0,22,32,0,False,0,True,4,41.0
46,21,9,4,False,0,False,2,49.0
20,7,10,1,False,0,False,2,35.0
0,1,2,0,False,0,False,3,30.0
0,4,4,1,False,0,True,3,31.0
0,13,5,0,False,0,False,3,36.0
0,28,30,66,False,0,False,4,80.0
22,5,0,20,True,0,True,4,55.0
0,27,39,6,False,0,False,3,70.0
0,16,9,9,False,0,False,4,37.0
3,17,19,4,True,0,True,3,31.0
0,3,1,4,False,0,False,6,41.0
1,2,2,0,False,0,False,3,34.0
12,16,1,31,True,0,False,3,36.0
0,6,5,0,False,0,True,2,39.0
0,1,1,0,False,0,True,4,47.0
0,6,3,0,False,0,False,4,65.0
0,3,3,0,False,0,True,3,34.0
0,11,14,0,False,0,True,2,26.0
0,1,1,0,False,0,True,2,39.0
0,14,7,24,False,0,False,2,48.0
6,11,9,0,False,0,True,1,59.0
0,3,3,0,False,0,True,5,33.0
63,41,15,6,False,0,False,5,49.0
48,1,0,0,False,0,False,3,37.0
0,7,7,0,False,0,False,2,32.0
0,3,3,0,False,0,True,3,34.0
78,36,10,0,False,0,False,3,44.0
0,60,522,5,False,0,False,4,41.0
2,8,6,0,False,0,False,2,42.0
18,20,3,34,True,0,False,4,38.0
0,1,0,0,False,0,True,4,44.0
2,37,64,2,False,0,False,3,48.0
0,2,0,5,True,0,True,3,33.0
1,6,0,11,True,0,False,3,38.0
0,3,3,0,False,0,True,3,40.0
0,17,24,0,False,0,False,2,37.0
0,22,17,17,False,0,True,3,37.0
4,18,0,82,True,0,False,3,43.0
6,21,8,60,True,0,True,3,26.0
0,1,1,0,False,0,False,3,60.0
19,23,8,12,True,0,True,2,40.0
0,2,2,0,False,0,True,2,48.0
48,47,0,69,True,0,True,3,62.0
8,8,16,3,False,0,True,2,37.0
0,5,6,0,False,0,True,3,37.0
0,6,2,0,False,0,True,3,55.0
0,10,10,7,False,0,False,2,33.0
0,2,2,0,False,0,True,3,37.0
0,8,1,10,False,0,True,5,67.0
16,15,2,39,True,0,True,5,44.0
2,17,3,1,False,0,False,3,39.0
0,8,5,4,True,0,True,4,96.0
0,1,1,0,False,0,True,3,38.0
0,6,3,0,False,0,False,4,56.0
0,1,1,0,False,0,True,2,50.0
0,15,22,0,False,0,True,3,43.0
0,8,8,7,False,0,True,3,36.0
0,2,2,0,False,0,False,4,82.0
1,2,1,0,False,0,False,4,39.0
0,1,0,0,False,0,False,3,43.0
0,5,1,3,False,0,False,2,35.0
2,13,16,0,False,0,True,4,37.0
2,2,4,0,False,0,True,2,39.0
2,4,3,0,False,0,False,3,27.0
0,12,10,0,False,0,True,3,46.0
4,29,15,68,False,0,False,3,28.0
0,1,1,0,False,0,True,3,65.0
72,39,49,3,False,0,False,2,43.0
0,1,1,0,False,0,True,3,35.0
0,5,4,0,False,0,True,4,40.0
0,3,3,0,False,0,False,4,38.0
0,21,17,62,True,0,False,2,67.0
12,3,8,0,False,0,True,4,70.0
0,1,0,1,False,0,True,3,35.0
1,7,0,10,True,0,False,6,40.0
94,31,15,1,False,0,False,3,35.0
12,25,16,27,False,0,False,2,68.0
0,3,3,0,False,0,True,3,29.0
1,15,4,15,False,0,False,4,57.0
141,36,7,188,True,0,True,2,34.0
1,6,8,0,False,0,False,3,45.0
0,3,0,4,True,0,False,3,47.0
24,46,13,95,False,0,False,3,56.0
0,4,2,0,False,0,True,3,34.0
0,2,2,0,False,0,False,3,28.0
0,3,2,0,False,0,True,2,55.0
22,6,0,43,True,0,True,3,62.0
0,2,2,2,False,0,True,3,35.0
20,59,605,1391,True,0,True,3,22.0
1,2,8,0,False,0,True,4,57.0
1,2,0,3,True,0,False,1,35.0
0,3,2,0,False,0,False,3,40.0
0,1,0,0,False,0,True,4,37.0
22,35,0,90,True,0,False,5,48.0
2,8,16,8,False,0,True,4,39.0
42,20,34,22,False,0,True,2,34.0
0,1,1,0,False,0,True,2,43.0
0,10,10,0,False,0,True,3,32.0
11,29,0,70,True,0,False,4,30.0
0,1,1,0,False,0,True,3,33.0
0,8,3,7,False,0,True,4,43.0
0,1,3,0,False,0,True,3,34.0
0,2,3,0,False,0,True,4,71.0
33,60,265,320,True,0,False,2,44.0
3,5,9,0,False,0,False,6,42.0
52,31,17,5,False,0,True,3,42.0
1,14,5,19,False,0,False,2,39.0
4,53,183,182,True,0,True,2,34.0
2,1,1,0,False,0,False,3,35.0
26,28,36,2,False,0,True,3,36.0
74,51,0,348,True,0,False,3,64.0
0,2,2,0,False,0,True,3,63.0
24,12,6,0,False,0,False,2,47.0
0,1,1,0,False,0,True,2,31.0
4,46,0,359,True,0,False,2,42.0
10,41,14,62,True,0,False,3,58.0
18,8,8,3,False,0,False,3,29.0
19,27,6,42,True,0,False,3,38.0
0,46,152,18,True,0,False,3,45.0
94,36,0,184,True,0,True,3,81.0
0,2,2,0,False,0,True,2,37.0
4,37,27,74,True,0,False,3,35.0
0,5,4,0,False,0,True,4,36.0
0,3,2,0,False,0,True,3,40.0
0,1,1,0,False,0,False,5,36.0
12,54,119,431,True,0,True,4,54.0
0,60,323,348,True,0,False,2,32.0
0,57,184,239,True,0,True,3,61.0
0,1,1,0,False,0,False,3,52.0
0,7,3,0,False,0,False,1,42.0
4,4,5,0,False,0,False,3,43.0
6,20,39,0,False,0,False,3,45.0
0,26,32,0,False,0,False,3,33.0
0,60,395,574,True,0,True,3,33.0
0,5,3,0,False,0,False,3,43.0
3,10,7,0,False,0,False,2,51.0
0,33,169,132,False,0,False,2,31.0
0,18,94,59,True,0,True,2,67.0
0,3,1,0,False,0,True,2,52.0
0,13,16,0,False,0,True,2,65.0
0,2,2,0,False,0,True,2,29.0
0,1,0,1,True,0,True,3,68.0
0,1,1,0,False,0,True,6,52.0
0,9,4,18,False,0,True,3,35.0
0,7,10,20,True,0,False,3,46.0
0,3,1,1,False,0,False,3,34.0
0,1,0,4,True,0,True,3,54.0
0,6,1,1,False,0,False,4,58.0
0,44,37,119,True,0,True,2,71.0
0,2,0,8,True,0,True,2,55.0
0,31,52,0,False,0,False,4,41.0
10,10,9,1,False,0,False,3,31.0
0,2,1,0,False,0,False,4,36.0
5,1,0,5,True,0,False,4,44.0
5,44,99,5,False,0,False,3,36.0
31,49,18,160,False,0,False,3,40.0
0,19,54,1,False,0,False,3,75.0
0,2,1,1,False,0,False,1,45.0
0,2,2,0,False,0,True,2,42.0
9,13,2,28,True,0,False,4,58.0
5,17,11,19,False,0,False,3,30.0
14,8,10,0,False,0,True,3,47.0
0,17,24,0,False,0,False,4,35.0
0,1,1,0,False,0,False,2,33.0
68,46,8,99,False,0,False,4,65.0
45,17,10,0,False,0,False,2,44.0
18,20,20,8,False,0,False,5,38.0
0,4,4,0,False,0,True,3,58.0
8,21,34,0,False,0,True,3,41.0
5,9,15,0,False,0,True,3,36.0
0,1,0,0,False,0,False,3,41.0
0,19,9,24,False,0,True,2,43.0
0,8,1,9,False,0,False,4,43.0
0,1,1,0,False,0,True,3,29.0
3,2,0,4,True,0,False,2,41.0
3,2,1,0,False,0,False,3,55.0
0,27,21,0,False,0,True,2,57.0
0,1,3,0,False,0,True,5,48.0
0,5,4,0,False,0,True,0,30.0
2,14,4,2,False,0,False,4,37.0
1,18,13,32,True,0,False,3,49.0
0,60,1077,594,True,0,False,5,48.0
12,8,11,0,False,0,True,6,58.0
1,2,0,4,True,0,False,3,34.0
0,5,4,0,False,0,True,4,47.0
0,3,4,2,False,0,False,2,47.0
0,1,0,0,False,0,False,4,43.0
0,15,4,0,False,0,False,3,31.0
5,20,3,45,True,0,False,3,72.0
0,53,147,118,True,0,True,3,42.0
0,7,5,0,False,0,False,3,37.0
10,57,790,205,True,0,True,2,47.0
0,9,10,0,False,0,False,4,56.0
0,2,1,1,True,0,True,3,73.0
0,1,1,0,False,0,False,2,42.0
12,10,7,0,False,0,False,4,45.0
0,26,6,37,False,0,False,3,43.0
38,30,0,44,True,0,False,4,62.0
0,4,5,0,False,0,False,3,42.0
0,1,0,0,False,0,True,4,28.0
10,25,5,80,True,0,False,3,31.0
1,5,7,7,False,0,False,3,32.0
0,60,705,666,True,0,False,2,36.0
1,24,8,36,False,0,False,4,57.0
0,1,1,4,True,0,False,3,54.0
0,24,39,0,False,0,True,3,36.0
