QT_TOTAL_HIT_PAYWALL,DIASNAVEGADOS,NOTICIASLIDAS,VISITAS_CAPA,USOU_APP,PERFIL,PES_GENERO,ATR_PF_GEO_RENDA_FAM,IDADE
0,0,0,0,NAO,ASSINANTE,F,DE 4SM ATE 8SM,41.0
1,1,0,9,SIM,ASSINANTE,M,DE 4SM ATE 8SM,45.0
1,6,3,7,NAO,ASSINANTE,M,DE 3SM ATE 4SM,55.0
11,16,10,0,NAO,ASSINANTE,M,DE 4SM ATE 8SM,52.0
0,0,0,0,NAO,ASSINANTE,M,DE 3SM ATE 4SM,33.0
0,0,0,0,NAO,ASSINANTE,F,DE 8SM ATE 14SM,47.0
7,1,0,0,NAO,ASSINANTE,F,DE 4SM ATE 8SM,56.0
6,51,177,0,NAO,ASSINANTE,M,DE 8SM ATE 14SM,37.0
20,12,0,16,SIM,ASSINANTE,M,DE 4SM ATE 8SM,33.0
44,33,10,151,SIM,ASSINANTE,M,DE 3SM ATE 4SM,46.0
4,1,0,3,SIM,ASSINANTE,M,DE 4SM ATE 8SM,26.0
0,16,5,84,SIM,ASSINANTE,M,DE 14SM ATE 25SM,41.0
18,22,0,84,SIM,ASSINANTE,M,DE 3SM ATE 4SM,38.0
24,33,85,0,NAO,ASSINANTE,M,DE 4SM ATE 8SM,62.0
20,48,324,126,SIM,ASSINANTE,M,DE 14SM ATE 25SM,63.0
6,8,4,1,NAO,ASSINANTE,M,DE 4SM ATE 8SM,67.0
0,0,0,0,NAO,ASSINANTE,M,DE 8SM ATE 14SM,58.0
0,5,0,16,SIM,ASSINANTE,M,DE 4SM ATE 8SM,44.0
0,0,0,0,NAO,ASSINANTE,M,DE 4SM ATE 8SM,24.0
1,1,1,1,NAO,ASSINANTE,M,DE 3SM ATE 4SM,53.0
0,0,0,0,NAO,ASSINANTE,M,DE 4SM ATE 8SM,64.0
20,58,286,0,NAO,ASSINANTE,F,DE 3SM ATE 4SM,51.0
7,47,169,210,NAO,ASSINANTE,M,DE 4SM ATE 8SM,66.0
0,0,0,0,NAO,ASSINANTE,F,DE 4SM ATE 8SM,45.0
0,1,2,0,NAO,ASSINANTE,M,DE 8SM ATE 14SM,37.0
3,4,3,0,NAO,ASSINANTE,M,DE 3SM ATE 4SM,46.0
0,0,0,0,NAO,ASSINANTE,M,DE 4SM ATE 8SM,33.0
3,4,4,0,NAO,ASSINANTE,M,DE 8SM ATE 14SM,26.0
0,0,0,0,NAO,ASSINANTE,M,DE 3SM ATE 4SM,37.0
9,58,191,3,NAO,ASSINANTE,F,DE 8SM ATE 14SM,34.0
1,1,0,12,SIM,ASSINANTE,M,DE 14SM ATE 25SM,30.0
0,0,0,0,NAO,ASSINANTE,M,DE 3SM ATE 4SM,32.0
0,0,0,0,NAO,ASSINANTE,F,DE 4SM ATE 8SM,40.0
2,6,0,24,SIM,ASSINANTE,M,DE 3SM ATE 4SM,39.0
0,0,0,0,NAO,ASSINANTE,F,DE 8SM ATE 14SM,31.0
0,0,0,0,NAO,ASSINANTE,M,DE 4SM ATE 8SM,60.0
0,0,0,0,NAO,ASSINANTE,F,DE 4SM ATE 8SM,50.0
0,0,0,0,NAO,ASSINANTE,M,DE 4SM ATE 8SM,70.0
88,22,11,2,NAO,ASSINANTE,M,DE 8SM ATE 14SM,39.0
