ID,QT_TOTAL_HIT_PAYWALL,DIASNAVEGADOS,NOTICIASLIDAS,VISITAS_CAPA,USOU_APP,PERFIL,PES_GENERO,PES_NASCIMENTO_DATA,ATR_PF_GEO_RENDA_FAM
3321,0,0,0,0,NAO,ASSINANTE,F,23.04.1981 00:00:00,DE 4SM ATE 8SM
1459,1,23,0,362,SIM,ASSINANTE,M,01.01.1900 00:00:00,DE 3SM ATE 4SM
1630,5,16,11,4,NAO,ASSINANTE,M,01.01.1900 00:00:00,
905,9,13,8,25,SIM,ASSINANTE,F,01.01.1900 00:00:00,ACIMA DE 25SM
1219,1,1,0,9,SIM,ASSINANTE,M,16.08.1977 00:00:00,DE 4SM ATE 8SM
2645,1,6,3,7,NAO,ASSINANTE,M,28.10.1967 00:00:00,DE 3SM ATE 4SM
842,11,16,10,0,NAO,ASSINANTE,M,04.12.1970 00:00:00,DE 4SM ATE 8SM
3474,0,0,0,0,NAO,ASSINANTE,F,01.01.1900 00:00:00,DE 4SM ATE 8SM
187,0,0,0,0,NAO,ASSINANTE,F,01.01.1900 00:00:00,
3218,0,0,0,0,NAO,ASSINANTE,M,01.01.1900 00:00:00,DE 4SM ATE 8SM
3167,0,0,0,0,NAO,ASSINANTE,M,01.01.1900 00:00:00,
2607,0,0,0,0,NAO,ASSINANTE,F,01.01.1900 00:00:00,
935,0,0,0,0,NAO,ASSINANTE,M,01.01.1900 00:00:00,
3081,4,4,0,20,SIM,ASSINANTE,M,01.01.1900 00:00:00,DE 3SM ATE 4SM
3561,24,49,0,295,SIM,ASSINANTE,M,01.01.1900 00:00:00,DE 8SM ATE 14SM
1918,0,0,0,0,NAO,ASSINANTE,M,01.01.1900 00:00:00,
96,0,0,0,0,NAO,ASSINANTE,F,01.01.1900 00:00:00,DE 4SM ATE 8SM
174,0,6,2,0,NAO,ASSINANTE,F,01.01.1900 00:00:00,DE 3SM ATE 4SM
630,1,19,14,18,NAO,ASSINANTE,F,01.01.1900 00:00:00,DE 4SM ATE 8SM
1729,0,0,0,0,NAO,ASSINANTE,M,08.07.1989 00:00:00,DE 3SM ATE 4SM
2282,0,0,0,0,NAO,ASSINANTE,M,01.01.1900 00:00:00,DE 4SM ATE 8SM
961,0,0,0,0,NAO,ASSINANTE,M,01.01.1900 00:00:00,DE 4SM ATE 8SM
2135,0,0,0,0,NAO,ASSINANTE,M,01.01.1900 00:00:00,DE 8SM ATE 14SM
2619,0,2,0,7,SIM,ASSINANTE,M,01.01.1900 00:00:00,DE 4SM ATE 8SM
2713,14,37,51,54,SIM,ASSINANTE,M,01.01.1900 00:00:00,DE 3SM ATE 4SM
2621,0,0,0,0,NAO,ASSINANTE,F,25.07.1975 00:00:00,DE 8SM ATE 14SM
2617,0,0,0,0,NAO,ASSINANTE,F,01.01.1900 00:00:00,DE 4SM ATE 8SM
1452,7,1,0,0,NAO,ASSINANTE,F,07.10.1966 00:00:00,
2469,0,0,0,0,NAO,ASSINANTE,M,01.01.1900 00:00:00,DE 4SM ATE 8SM
3593,0,0,0,0,NAO,ASSINANTE,F,01.01.1900 00:00:00,
84,10,12,10,0,NAO,ASSINANTE,M,01.01.1900 00:00:00,DE 4SM ATE 8SM
1881,0,6,3,0,NAO,ASSINANTE,M,01.01.1900 00:00:00,DE 3SM ATE 4SM
2490,48,55,896,873,SIM,ASSINANTE,M,01.01.1900 00:00:00,
1587,20,9,1,0,NAO,ASSINANTE,M,01.01.1900 00:00:00,DE 4SM ATE 8SM
101,0,0,0,0,NAO,ASSINANTE,F,01.01.1900 00:00:00,DE 3SM ATE 4SM
3781,0,0,0,0,NAO,ASSINANTE,M,01.01.1900 00:00:00,DE 14SM ATE 25SM
2231,4,17,13,0,NAO,ASSINANTE,M,01.01.1900 00:00:00,DE 3SM ATE 4SM
770,0,0,0,0,NAO,ASSINANTE,M,01.01.1900 00:00:00,
1451,0,0,0,0,NAO,ASSINANTE,M,01.01.1900 00:00:00,
1283,0,0,0,0,NAO,ASSINANTE,F,01.01.1900 00:00:00,DE 3SM ATE 4SM
1109,0,0,0,0,NAO,ASSINANTE,M,01.01.1900 00:00:00,
134,0,0,0,0,NAO,ASSINANTE,M,01.01.1900 00:00:00,
276,0,33,53,0,NAO,ASSINANTE,M,01.01.1900 00:00:00,
1076,0,0,0,0,NAO,ASSINANTE,F,01.01.1900 00:00:00,DE 8SM ATE 14SM
37,0,0,0,0,NAO,ASSINANTE,F,01.01.1900 00:00:00,DE 3SM ATE 4SM
9,6,51,177,0,NAO,ASSINANTE,M,16.08.1985 00:00:00,DE 8SM ATE 14SM
3153,0,0,0,0,NAO,ASSINANTE,M,,DE 14SM ATE 25SM
2276,69,29,32,109,NAO,ASSINANTE,M,01.01.1900 00:00:00,DE 8SM ATE 14SM
1509,0,53,129,488,SIM,ASSINANTE,M,01.01.1900 00:00:00,DE 4SM ATE 8SM
2125,0,0,0,0,NAO,ASSINANTE,M,01.01.1900 00:00:00,DE 8SM ATE 14SM
185,0,0,0,0,NAO,ASSINANTE,F,01.01.1900 00:00:00,DE 14SM ATE 25SM
2208,0,10,8,3,NAO,ASSINANTE,F,01.01.1900 00:00:00,DE 8SM ATE 14SM
2140,42,58,207,2,NAO,ASSINANTE,F,01.01.1900 00:00:00,DE 4SM ATE 8SM
2524,0,5,4,0,NAO,ASSINANTE,M,01.01.1900 00:00:00,DE 8SM ATE 14SM
1278,0,0,0,0,NAO,ASSINANTE,F,01.01.1900 00:00:00,DE 4SM ATE 8SM
2986,0,0,0,0,NAO,ASSINANTE,F,01.01.1900 00:00:00,DE 8SM ATE 14SM
554,0,0,0,0,NAO,ASSINANTE,F,01.01.1900 00:00:00,DE 14SM ATE 25SM
1966,0,0,0,0,NAO,ASSINANTE,F,01.01.1900 00:00:00,DE 3SM ATE 4SM
1605,20,12,0,16,SIM,ASSINANTE,M,14.01.1990 00:00:00,DE 4SM ATE 8SM
3157,17,40,0,194,SIM,ASSINANTE,M,01.01.1900 00:00:00,DE 8SM ATE 14SM
825,0,0,0,0,NAO,ASSINANTE,M,01.01.1900 00:00:00,DE 4SM ATE 8SM
160,30,33,16,61,SIM,ASSINANTE,F,01.01.1900 00:00:00,DE 8SM ATE 14SM
1908,10,11,5,0,NAO,ASSINANTE,M,01.01.1900 00:00:00,DE 4SM ATE 8SM
896,0,0,0,0,NAO,ASSINANTE,F,01.01.1900 00:00:00,DE 8SM ATE 14SM
608,44,33,10,151,SIM,ASSINANTE,M,18.06.1976 00:00:00,DE 3SM ATE 4SM
847,4,1,0,3,SIM,ASSINANTE,M,13.05.1996 00:00:00,
